rotation,rvq_layer,exact_precision,exact_recall,exact_f1,tolerant_1_precision,tolerant_1_recall,tolerant_1_f1
rotation_01,Q1,0.27080134131436273,0.9149724692926726,0.417914057021256,0.2855307280077721,0.9647395171537484,0.44064517689164034
rotation_01,Q2,0.18021819925668386,0.7958492164337145,0.29388648849439875,0.2122047716101187,0.9371029224904701,0.3460478210717707
rotation_01,Q3,0.1774025533564282,0.775412960609911,0.2887447509019577,0.21531529349063688,0.941126641253706,0.3504524574650553
rotation_01,Q4,0.17634250764525994,0.7632359169843287,0.2864921798922872,0.21465443425076453,0.9290554849639983,0.34873507025179357
rotation_01,Q5,0.16724035063564183,0.7717069038542991,0.27490475651616314,0.20358896690990866,0.939432443879712,0.33465354003998343
rotation_01,Q6,0.16379457430472616,0.7115628970775095,0.26629153375205566,0.20786311453433104,0.9030072003388395,0.3379366368805849
rotation_01,Q7,0.1612291436183423,0.7561414654807285,0.2657858006885642,0.19827956018152673,0.9299025836509953,0.3268633106913557
rotation_01,Q8,0.15951987474993476,0.7767894959762812,0.26468465868090635,0.19418109071931808,0.9455739093604405,0.32219656516091794
rotation_02,Q1,0.19452407104776703,0.8729261841788891,0.3181509475298499,0.21383984783132853,0.9596056744409713,0.3497425785956841
rotation_02,Q2,0.19691260483772943,0.7790334214955518,0.3143647212923883,0.2238969247599368,0.8857898533301274,0.35744433124727115
rotation_02,Q3,0.1798392498325519,0.839264246213032,0.2962067209775967,0.20263795146581484,0.9456600144265448,0.3337576374745418
rotation_02,Q4,0.17641599490878235,0.7998316903101708,0.2890723441233978,0.20643296563428087,0.9359220966578504,0.33825765804909846
rotation_02,Q5,0.15987040037028466,0.830488098100505,0.2681260673808415,0.18375376070354085,0.9545563837460929,0.30818195932308645
rotation_02,Q6,0.1565601663673315,0.796465496513585,0.2616818738397124,0.1836893846299272,0.9344794421735995,0.30702689892167323
rotation_02,Q7,0.15061462890099953,0.7409232988699207,0.2503401913195361,0.184975194897236,0.909954315941332,0.30745171314255537
rotation_02,Q8,0.16264535245636313,0.7852849242606396,0.269477505724128,0.19297328253778542,0.9317143544121183,0.3197260669568267
rotation_03,Q1,0.22720033419492963,0.8840800568932237,0.36149883682286477,0.2456854912404376,0.9560093467438789,0.3909106015287472
rotation_03,Q2,0.14565850918155965,0.8429340648176369,0.2483945812439189,0.16214318317474807,0.9383318094077009,0.2765062495322207
rotation_03,Q3,0.14122872738948947,0.8043279487960987,0.24026949515181867,0.1665417959970031,0.9484913136238952,0.28333409204716165
rotation_03,Q4,0.13592526630599147,0.8219038910901149,0.23327229999567484,0.15763298497933398,0.9531646855633445,0.27052666484047233
rotation_03,Q5,0.1319913514238305,0.8000609570252971,0.22659914252007016,0.15683086670130567,0.950624809509296,0.26924294305527585
rotation_03,Q6,0.1314875812338645,0.7502793863659454,0.22376075627196704,0.16079408884536633,0.9175048257645027,0.27363349896982186
rotation_03,Q7,0.12660312977997412,0.7652138575637509,0.21726087458174687,0.15368194577513322,0.9288834704866402,0.26373024114457133
rotation_03,Q8,0.1268244441413177,0.7556639236005283,0.21719641996758698,0.15593029600327377,0.9290866605709641,0.2670423851308931
rotation_04,Q1,0.2282809839867749,0.8796349115801483,0.36248947048798164,0.24513311455994474,0.9445712112568929,0.3892491233569064
rotation_04,Q2,0.14236970321073422,0.8806807377828485,0.24511451290668287,0.15508046047676868,0.9593078532040312,0.26699831968351834
rotation_04,Q3,0.14628681701473498,0.850446853013881,0.24963371241191654,0.1645052087592196,0.9563605248146035,0.28072280750715134
rotation_04,Q4,0.1418011600050435,0.8553907586993725,0.2432739366736068,0.15866536376245113,0.9571211256892945,0.2722061487710569
rotation_04,Q5,0.13799571694308535,0.839323065221525,0.23702192211139597,0.15756647335594703,0.9583571021106674,0.2706367212146434
rotation_04,Q6,0.13716413078666234,0.805666476516448,0.23441865611773494,0.16000323729362254,0.9398174557900741,0.2734515477606573
rotation_04,Q7,0.12877220077220078,0.7927362616467009,0.22155497688260617,0.1526023166023166,0.9394371553527286,0.26255513631290855
rotation_04,Q8,0.13131749460043196,0.8381821639094885,0.22706141424027404,0.15077083488493334,0.9623502567027952,0.2606982344532729
rotation_05,Q1,0.1974524211033486,0.8569001568217459,0.3209495839451786,0.21549024331486388,0.9351803450078411,0.35026921194322075
rotation_05,Q2,0.14165581477475886,0.8387349712493466,0.24237617779791912,0.1594455602886971,0.9440669106116049,0.272814819010933
rotation_05,Q3,0.1325545235075085,0.8467067433350758,0.22922342119228725,0.14916731453823806,0.9528227914270779,0.2579515301609765
rotation_05,Q4,0.1254521834715699,0.8203084161003659,0.2176226879539584,0.14559808134305985,0.952038682697334,0.2525699030977516
rotation_05,Q5,0.12202264740335807,0.8167799268165186,0.21232504416360917,0.14291292463881297,0.9566126502875065,0.2486750917244191
rotation_05,Q6,0.12079016171201705,0.8150810245687402,0.21040025637998214,0.13978890287595624,0.943282801881861,0.2434935145984786
rotation_05,Q7,0.11906314974112275,0.7633298484056456,0.20599541527067536,0.1455827795670431,0.9333507579717721,0.25187797566566744
rotation_05,Q8,0.11650522978172187,0.7875065342394145,0.20298105263157898,0.1392030624673743,0.9409304756926293,0.2425263157894737
rotation_06,Q1,0.2400142146410803,0.8696883852691218,0.37620453406115967,0.26297085998578534,0.9528714911151172,0.412187378154069
rotation_06,Q2,0.1759581881533101,0.8063353077517383,0.2888776122157125,0.2013319096324604,0.9226113829513263,0.3305346680813766
rotation_06,Q3,0.17695888720623704,0.8125160958022147,0.2906226971260133,0.2061248527679623,0.9464331702292043,0.3385224760501105
rotation_06,Q4,0.17436881325770215,0.8074942055112027,0.28680539675280126,0.20172950728506284,0.9342003605459697,0.3318088268922936
rotation_06,Q5,0.1639374328608484,0.805691475663147,0.2724402934709251,0.1921817276705007,0.9445016739634303,0.3193782248056952
rotation_06,Q6,0.1602530586635993,0.7893381406129282,0.266417488808727,0.1898985673951689,0.935359258305434,0.31570255117562696
rotation_06,Q7,0.1528922532931597,0.7906258047901107,0.2562336984872196,0.18274857441669365,0.9450167396343033,0.30627021387584774
rotation_06,Q8,0.14037986955755333,0.8203708472830286,0.23973659454374413,0.16422087079146835,0.9596961112541849,0.2804515522107244
rotation_07,Q1,0.18113667530092945,0.8031347115254696,0.29560373980505267,0.20088374219107116,0.8906904472368599,0.3278297195146211
rotation_07,Q2,0.1088859665602104,0.7831374138629915,0.19118932559251867,0.12814202517377418,0.9216322118632617,0.22500041233032606
rotation_07,Q3,0.11557298800481468,0.7524658829887853,0.2003705902459208,0.13773710206283982,0.896770706661262,0.23879684098800077
rotation_07,Q4,0.11,0.7624645318200243,0.19226248275157154,0.1323391812865497,0.9173084718281314,0.23130781417693055
rotation_07,Q5,0.09887385792194915,0.7544926361302526,0.17483601296241214,0.12146752602875557,0.9269017700310769,0.2147877952940808
rotation_07,Q6,0.1047442638623327,0.7105796513984597,0.18257563922303804,0.13027804333970683,0.8837994865558708,0.22708257390338318
rotation_07,Q7,0.10185900904382778,0.7122010539116336,0.17822786522172818,0.12843008425446395,0.8979867585461424,0.22472062080508545
rotation_07,Q8,0.09613159797541576,0.7185515470882313,0.16957637792764782,0.12136659436008677,0.9071747061207945,0.21409097431482282
