rvq_layer,phoneme_per_mean,phoneme_per_std,boundary_f1_mean,boundary_f1_std,dysarthria_macro_f1_mean,dysarthria_macro_f1_std
Q1,0.4138203885754633,0.08196231036417871,0.3801191128549841,0.03966426279951679,0.7220565862116375,0.14529208595163248
Q2,0.839799657409986,0.012691825754653297,0.29647808870820236,0.048769579639866674,0.5852487362039699,0.18554698613778953
Q3,0.8026774723709054,0.02797495328076174,0.2976482630989997,0.0433850169512214,0.6008207315809216,0.19143609519620866
Q4,0.836306953903534,0.01737741137800765,0.292201726582771,0.04660878243234517,0.6204754922008728,0.19184665440261647
Q5,0.7669113802023644,0.017872956454580903,0.2807937536367406,0.04235707994733935,0.547576274313631,0.20824631136690022
Q6,0.85201267045597,0.015923653570280437,0.2826181746014609,0.039854291852233055,0.5839519508919498,0.17904831438487728
Q7,0.8361792099596289,0.013536102938129168,0.27763845880542737,0.036552562112465214,0.5492238934114758,0.17425099831281857
Q8,0.8230552139268901,0.01710321002980738,0.27239029914527596,0.039247709462559045,0.6087196247118398,0.20827059214980082
