rotation,rvq_layer,probe,value
rotation_06,3,phoneme_boundary,0.3385224760501105
rotation_06,3,phoneme_ctc,0.8042100741058963
rotation_06,4,dysarthria,0.5866264895219833
rotation_06,4,phoneme_boundary,0.3318088268922936
rotation_06,4,phoneme_ctc,0.8512512082483085
rotation_06,5,dysarthria,0.6170449805661042
rotation_06,5,phoneme_boundary,0.3193782248056952
rotation_06,5,phoneme_ctc,0.789818494254108
rotation_06,6,dysarthria,0.4537259492423614
rotation_06,6,phoneme_boundary,0.31570255117562696
rotation_06,6,phoneme_ctc,0.8579099989260015
rotation_06,7,dysarthria,0.509792636479052
rotation_06,7,phoneme_boundary,0.30627021387584774
rotation_06,7,phoneme_ctc,0.8410482225324885
rotation_06,8,dysarthria,0.5184874446354352
rotation_06,8,phoneme_boundary,0.2804515522107244
rotation_06,8,phoneme_ctc,0.8271936419289013
rotation_07,1,dysarthria,0.6490350882435558
rotation_07,1,phoneme_boundary,0.3278297195146211
rotation_07,1,phoneme_ctc,0.4431793057705063
rotation_07,2,dysarthria,0.7600546508622281
rotation_07,2,phoneme_boundary,0.22500041233032606
rotation_07,2,phoneme_ctc,0.8359495909794384
rotation_07,3,dysarthria,0.7802031504037186
rotation_07,3,phoneme_boundary,0.23879684098800077
rotation_07,3,phoneme_ctc,0.7929471589652886
rotation_07,4,dysarthria,0.6604740045281765
rotation_07,4,phoneme_boundary,0.23130781417693055
rotation_07,4,phoneme_ctc,0.8138403714348883
rotation_07,5,dysarthria,0.6142522458882156
rotation_07,5,phoneme_boundary,0.2147877952940808
rotation_07,5,phoneme_ctc,0.7766968826000442
rotation_07,6,dysarthria,0.617677398533358
rotation_07,6,phoneme_boundary,0.22708257390338318
rotation_07,6,phoneme_ctc,0.8661286756577493
rotation_07,7,dysarthria,0.5792876519642318
rotation_07,7,phoneme_boundary,0.22472062080508545
rotation_07,7,phoneme_ctc,0.8508733141720097
rotation_07,8,dysarthria,0.7939768234653535
rotation_07,8,phoneme_boundary,0.21409097431482282
rotation_07,8,phoneme_ctc,0.8118505416758789
