File_path,UTMOS_Overall,DNS_SIG,DNS_BAK,DNS_OVRL
/data/TORGO_DAC_16000/MC03/Session2/wav_arrayMic/0093.wav,1.8330078125,1.238605754166213,1.1987918293771203,1.1420718671339385
/data/TORGO_DAC_16000/MC03/Session2/wav_arrayMic/0231.wav,1.34375,2.906121594073829,2.8862064437193706,2.1515394173751123
/data/TORGO_DAC_16000/MC03/Session2/wav_arrayMic/0014.wav,2.041015625,3.271554515488319,2.5838568704602607,2.3598661881892156
/data/TORGO_DAC_16000/MC03/Session2/wav_arrayMic/0111.wav,1.6328125,2.819697147274731,3.1472863463801333,2.2104923331046114
/data/TORGO_DAC_16000/MC03/Session2/wav_arrayMic/0009.wav,2.208984375,3.108357256718119,3.2109689399862007,2.473245532838307
/data/TORGO_DAC_16000/MC03/Session2/wav_arrayMic/0067.wav,1.8828125,1.8763596401421978,2.065726785292068,1.3771315947783682
/data/TORGO_DAC_16000/MC03/Session2/wav_arrayMic/0021.wav,1.92578125,3.0002764448062083,2.595735449536544,2.073813646774827
/data/TORGO_DAC_16000/MC03/Session2/wav_arrayMic/0289.wav,1.2734375,3.065415076223407,3.116112387281959,2.401197896810309
/data/TORGO_DAC_16000/MC03/Session2/wav_arrayMic/0046.wav,1.8349609375,3.179173381198658,2.8248293285105177,2.317185191724692
/data/TORGO_DAC_16000/MC03/Session2/wav_arrayMic/0113.wav,2.1953125,3.3751981115388774,2.7476842896440044,2.4342546595785457
/data/TORGO_DAC_16000/MC03/Session2/wav_arrayMic/0183.wav,1.9306640625,2.6312849785181096,2.6658198382097744,1.9276482244276174
/data/TORGO_DAC_16000/MC03/Session2/wav_arrayMic/0182.wav,1.65625,2.9060705536449154,3.109923657016872,2.278148276563822
/data/TORGO_DAC_16000/MC03/Session2/wav_arrayMic/0027.wav,2.033203125,3.595252603739264,3.343856128026189,2.966365017667683
/data/TORGO_DAC_16000/MC03/Session2/wav_arrayMic/0017.wav,2.587890625,3.4516707255039893,3.394238898829438,2.8811963354294488
/data/TORGO_DAC_16000/MC03/Session2/wav_arrayMic/0112.wav,1.7705078125,3.086884754208266,2.4774216931388007,2.048082936195549
/data/TORGO_DAC_16000/MC03/Session2/wav_arrayMic/0255.wav,1.845703125,2.759254097243113,2.8218917948521725,2.0753231494459046
