Model_Type,Sample_Rate,File_Name,pesq,stoi
44khz,44100,0016.wav,3.9537601470947266,0.9624878327040506
44khz,44100,0016.wav,3.8386478424072266,0.8735850860710379
44khz,44100,0016.wav,3.8563966751098633,0.9027873075753049
44khz,44100,0016.wav,3.816167116165161,0.9592187336103599
44khz,44100,0016.wav,3.905228853225708,0.8881880133986443
44khz,44100,0016.wav,4.2361369132995605,0.9676560279129333
44khz,44100,0016.wav,3.9312069416046143,0.8867454227173083
44khz,44100,0016.wav,3.9598429203033447,0.9364126320960193
44khz,44100,0016.wav,3.8552322387695312,0.9157801603203606
44khz,44100,0016.wav,3.6842405796051025,0.8913501609273704
44khz,44100,0016.wav,3.890303373336792,0.9589915986732082
44khz,44100,0016.wav,3.755779504776001,0.9023948325921181
44khz,44100,0016.wav,3.9579734802246094,0.8866713008877769
44khz,44100,0016.wav,4.025881767272949,0.8597200341810078
44khz,44100,0016.wav,4.1476731300354,1e-05
44khz,44100,0016.wav,3.874814987182617,0.8688050605772643
44khz,44100,0016.wav,4.059342861175537,0.9311293407928825
44khz,44100,0016.wav,3.9067482948303223,0.9631003778675656
44khz,44100,0016.wav,3.6949048042297363,0.8963506455911019
44khz,44100,0016.wav,3.7286481857299805,0.9521580014808368
44khz,44100,0016.wav,4.211129665374756,0.967308020174428
44khz,44100,0016.wav,3.044069290161133,0.8293006297229186
44khz,44100,0016.wav,3.760061025619507,0.8891612463950967
44khz,44100,0016.wav,3.972487449645996,0.8982005153168422
44khz,44100,0016.wav,4.0675811767578125,0.9733621517079958
44khz,44100,0016.wav,3.7385244369506836,0.8759426582618103
44khz,44100,0016.wav,4.0185546875,0.9508862602374467
44khz,44100,0016.wav,3.777989625930786,0.9060616281655681
44khz,44100,0016.wav,3.588655471801758,0.9611509715751507
44khz,44100,0016.wav,4.013254642486572,0.8964187767559291
44khz,44100,0016.wav,3.8051507472991943,0.9506266756958421
44khz,44100,0016.wav,3.9008278846740723,0.9424171531237869
44khz,44100,0016.wav,3.8499691486358643,0.9683803067687762
44khz,44100,0016.wav,3.6012141704559326,0.8432431778091957
44khz,44100,0016.wav,3.7472877502441406,0.9650431783432037
44khz,44100,0016.wav,4.001323223114014,0.9606103246990682
44khz,44100,0016.wav,3.957911252975464,0.9718172325713191
44khz,44100,0016.wav,3.2077369689941406,0.8827451844666987
44khz,44100,0016.wav,3.899496078491211,0.9008834959249312
44khz,44100,0016.wav,3.73958420753479,0.8412760258028986
44khz,44100,0016.wav,4.0563764572143555,0.9398765968499404
44khz,44100,0016.wav,3.561218500137329,0.8621133063315459
44khz,44100,0016.wav,4.17903470993042,1e-05
44khz,44100,0016.wav,3.773796558380127,0.894270506576524
44khz,44100,0016.wav,4.0602946281433105,0.9141123356010424
44khz,44100,0016.wav,3.8927161693573,0.8745285420844284
44khz,44100,0016.wav,3.6417267322540283,0.9600595818455344
44khz,44100,0016.wav,3.9239730834960938,0.9200191540045765
44khz,44100,0016.wav,3.5969576835632324,0.9032800041143945
44khz,44100,0016.wav,3.535947322845459,0.8946520192116175
44khz,44100,0016.wav,3.8926167488098145,0.9069654402405081
44khz,44100,0016.wav,3.9340994358062744,0.9585046293102161
44khz,44100,0016.wav,3.848947763442993,0.9713425518385981
44khz,44100,0016.wav,4.0341105461120605,0.9632698906164793
44khz,44100,0016.wav,3.5214781761169434,0.9038344419368588
44khz,44100,0016.wav,3.385195732116699,0.8907547482680979
44khz,44100,0016.wav,3.770657539367676,0.9280409697599892
44khz,44100,0016.wav,3.780656099319458,0.8794495231594204
44khz,44100,0016.wav,4.016443252563477,0.9637354805863996
44khz,44100,0016.wav,3.890083074569702,0.9631965622186136
44khz,44100,0016.wav,3.7815256118774414,0.9603770590300885
44khz,44100,0016.wav,4.06735372543335,0.8702018203701618
44khz,44100,0016.wav,4.047287464141846,0.9543034945010268
44khz,44100,0016.wav,3.680032253265381,0.9362612439490733
44khz,44100,0016.wav,4.060533046722412,0.9198008725674048
44khz,44100,0016.wav,3.9314048290252686,0.9056728258163839
44khz,44100,0016.wav,3.8677608966827393,0.9674074698107389
44khz,44100,0016.wav,3.994741678237915,0.9633028690953352
44khz,44100,0016.wav,4.029007434844971,0.9619032759305076
44khz,44100,0016.wav,3.7681491374969482,0.9035816567291474
44khz,44100,0016.wav,3.8315682411193848,0.9330553484295859
44khz,44100,0016.wav,3.730729341506958,0.8595523363001516
44khz,44100,0016.wav,4.121537685394287,0.8949399557043666
44khz,44100,0016.wav,3.9165377616882324,0.8621776751138723
44khz,44100,0016.wav,3.9157896041870117,0.8802220646452859
44khz,44100,0016.wav,3.787456512451172,0.904253775697939
44khz,44100,0016.wav,4.034493446350098,0.9529906483135435
44khz,44100,0016.wav,3.943831205368042,0.866796172630734
44khz,44100,0016.wav,3.8051648139953613,0.9562018291149174
44khz,44100,0016.wav,3.682962656021118,0.87008311117081
44khz,44100,0016.wav,4.042865753173828,0.9744366036395778
44khz,44100,0016.wav,4.093061447143555,0.9727670687873549
44khz,44100,0016.wav,2.6957833766937256,0.9188192909884977
